Code,Gender,Age,Birthplace Latitude,Birthplace Longitude,Birthplace,Living Area Latitude,Living Area Longitude,Living Area,Additional
F001,female,22,,,山梨県北巨摩郡,35.1851045,136.8998438,愛知県名古屋市,大学時代は東京
F002,female,65-69,34.7845024,135.4004409,兵庫県伊丹市,35.561206,139.715843,東京都大田区,横浜育ち、２０代後半から東京
F003,female,85-89,36.5549677,139.8828776,栃木県宇都宮市,35.709674,139.454224,国分寺市,東京在住
F004,female,25-29,34.742653849999996,135.393316751297,兵庫県西宮市 尼崎市,35.1089068,137.0616164,愛知県愛知郡,５歳から静岡県、１６歳から愛知県
F005,female,25-29,35.1851045,136.8998438,愛知県名古屋市,35.1851045,136.8998438,名古屋市,
F006,female,55-59,35.2814779,139.6719597,神奈川県横須賀市,35.1089068,137.0616164,愛知県愛知郡,
F007,female,55-59,35.6768601,139.7638947,東京都,35.709674,139.454224,東京都国分寺市,
F008,female,20-24,34.970089,136.860738,愛知県知多市,34.970089,136.860738,愛知県知多市,
F009,female,35-39,35.1851045,136.8998438,愛知県名古屋市,35.1851045,136.8998438,愛知県名古屋市,
F010,female,40-44,35.721634,139.9309444,千葉県市川市,35.4503381,139.6343802,神奈川県横浜市,
F011,female,45-49,34.5737364,135.4828866,大阪府堺市,34.5737364,135.4828866,大阪府堺市,
F013,female,60-64,34.6039914,134.07472716327945,岡山県邑久郡,35.4429646,139.3625125,神奈川県厚木市,大学時代は東京。厚木市に３２年間居住。
F014,female,20-24,35.273804,137.007459,愛知県春日井市,35.273804,137.007459,春日井市,
F015,female,20,34.8361485,138.1769482,静岡県島田市,34.9751974,138.3831697,静岡県静岡市,
F016,female,55-59,35.4230949,136.7627526,岐阜県岐阜市,35.4230949,136.7627526,岐阜市,
F017,female,23,34.9548784,137.1728226,愛知県岡崎市,35.1851045,136.8998438,名古屋市,
F018,female,25-29,35.2814779,139.6719597,神奈川県横須賀市,35.6994929,139.6362876,東京都杉並区,７歳から１７歳まで静岡、２４歳から東京
F019,female,25-29,35.6663595,139.3163653,東京都八王子市,35.174704,137.043976,愛知県長久手町,２３歳まで東京
F020,female,90-94,35.663676,139.6976754,東京都渋谷区,35.7506445,139.6162651,東京都練馬区,３５歳〜６８歳：熊本
F021,female,22,34.8361485,138.1769482,静岡県島田市,35.1851045,136.8998438,愛知県名古屋市,
F022,female,20-24,34.7339783,135.4064015,兵庫県尼崎市,34.9751974,138.3831697,静岡県静岡市,19歳まで兵庫
F023,female,45-49,35.7867449,137.0460777,岐阜県,34.78897180323007,137.15162774475854,愛知県幡豆郡,
F024,female,20-24,34.9548784,137.1728226,愛知県岡崎市,34.9548784,137.1728226,岡崎市,大学時代は京都
F025,female,30-34,,,熊本県熊本市,35.7506445,139.6162651,東京都練馬区,１５歳から東京
F026,female,25-29,34.9751974,138.3831697,静岡市,35.273804,137.007459,春日井市,１１歳から愛知
F027,female,40-44,36.8503915,138.800711,新潟県南魚沼郡,36.8503915,138.800711,新潟県南魚沼郡,
F028,female,25-29,34.8161302,135.5685528,大阪府茨木市,35.1851045,136.8998438,名古屋市,
F029,female,25-29,35.7041083,139.5106759,東京都小金井市,35.725913,139.7166365,東京都豊島区,大学時代は愛知。２３歳から東京。
F030,female,25-29,35.139303,137.053708,愛知県日進市,35.139303,137.053708,愛知県日進市,
